Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
10/1/18,71387,120257,290631,2618,307
10/2/18,73113,122234,290788,2666,195
10/3/18,76769,129720,290947,3141,199
10/4/18,70698,116337,291073,2838,222
10/5/18,74744,129597,291166,3979,254
10/6/18,57599,110421,291298,5658,310
10/7/18,60753,127033,291425,6936,277
10/8/18,58256,95097,291549,2865,121
10/9/18,74251,123973,291672,2846,207
10/10/18,77317,132255,291765,3115,202
10/11/18,46862,70173,291862,1323,59
10/12/18,67686,113055,291962,3453,255
10/13/18,54747,100652,292029,2430,125
10/14/18,54297,103697,292158,4805,204
10/15/18,59181,92219,292262,1958,95
10/16/18,66661,104171,292370,2200,158
10/17/18,67868,107762,292469,2341,134
10/18/18,61668,94356,292519,1969,143
10/19/18,64735,105730,292604,3012,192
10/20/18,56281,109142,292711,5644,309
10/21/18,39192,64764,292811,2488,100
10/22/18,57919,88293,292899,1721,133
10/23/18,68086,110293,292992,2356,181
10/24/18,64203,98615,293077,1942,97
10/25/18,61637,95827,293309,2003,146
10/26/18,59861,92569,293508,2292,131
10/27/18,13124,17949,293542,333,11
10/28/18,42502,74540,293611,3134,154
10/29/18,60028,92882,293722,1853,156
10/30/18,65545,102834,293819,1957,141
10/31/18,68447,114039,294007,2544,225
11/1/18,74260,128502,294111,3288,245
11/2/18,63746,105906,294186,2817,237
11/3/18,49127,89639,294256,4200,199
11/4/18,50713,98021,294329,5107,99
11/5/18,33345,47328,294396,776,31
11/6/18,40271,56313,294442,1186,29
11/7/18,67925,112354,294527,2590,189
11/8/18,64441,103621,294595,2191,146
11/9/18,36952,54282,294647,1064,63
11/10/18,37809,63740,294689,2649,132
11/11/18,36612,64197,294744,2763,78
11/12/18,51341,79338,294792,1707,79
11/13/18,36957,52453,294838,751,27
11/14/18,49621,70932,294882,935,30
11/15/18,24948,35594,294900,407,24
11/16/18,34447,49576,294915,761,48
11/17/18,37974,61206,294951,2257,56
11/18/18,34390,55093,294988,1916,45
11/19/18,54540,83935,295037,1522,84
11/20/18,51910,75746,295070,1259,37
11/21/18,40417,58441,295112,1050,39
11/22/18,8798,12626,295200,369,20
11/23/18,16107,23143,295439,597,26
11/24/18,20087,32011,295530,1137,41
11/25/18,34519,60831,295688,2521,36
11/26/18,29189,42333,296251,499,18
11/27/18,49979,74556,296351,802,31
11/28/18,48433,69352,296405,777,29
11/29/18,51468,76715,296452,1054,51
11/30/18,46001,67098,296497,1065,47
12/1/18,37989,62304,296553,2256,37
12/2/18,18418,26501,296584,554,11
12/3/18,53974,85524,296664,1308,62
12/4/18,49058,71843,296708,867,27
12/5/18,46779,67536,296753,814,38
12/6/18,46543,66885,296798,910,40
12/7/18,43841,63353,296843,948,52
12/8/18,29909,44552,296867,1271,46
12/9/18,27547,40886,296897,1064,23
12/10/18,43358,62699,296938,762,25
12/11/18,47335,68321,296974,823,20
12/12/18,47717,68600,297005,748,28
12/13/18,40736,57295,297042,593,14
12/14/18,44775,66633,297078,1137,44
12/15/18,36423,57244,297119,1902,45
12/16/18,9835,13599,297131,203,4
12/17/18,45382,66449,297173,909,32
12/18/18,41703,58360,297205,656,22
12/19/18,44096,63165,297238,877,22
12/20/18,34026,48713,297269,751,20
12/21/18,23996,34450,297290,481,24
12/22/18,24870,36653,297327,1088,25
12/23/18,22230,35921,297355,1298,37
12/24/18,18990,27246,297387,681,18
12/25/18,11177,21483,297426,1080,38
12/26/18,25358,39176,297487,1118,49
12/27/18,31169,48943,297527,1510,51
12/28/18,12039,17576,297555,334,25
12/29/18,29037,54116,297622,2677,104
12/30/18,22536,37741,297682,1562,51
12/31/18,18936,29794,297748,962,31
