Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
3/15/2014,19664,7116810,35.302,"12,351,665",98716,111,1316,54
3/16/2014,10740,7127550,16.054,"12,367,720",98827,77,274,31
3/17/2014,13681,7141231,17.722,"12,385,442",98904,91,106,19
3/18/2014,18046,7159277,24.985,"12,410,427",98995,87,181,30
3/19/2014,14387,7173664,19.079,"12,429,506",99082,78,87,19
3/20/2014,21299,7194963,31.018,"12,460,523",99160,120,292,36
3/21/2014,22266,7217229,33.189,"12,493,712",99280,149,386,26
3/22/2014,21671,7238900,42.206,"12,535,919",99429,134,1525,55
3/23/2014,12846,7251746,19.105,"12,555,024",99563,115,451,19
3/24/2014,14729,7266475,18.838,"12,573,862",99678,84,105,20
3/25/2014,17388,7283863,22.135,"12,595,997",99762,79,108,19
3/26/2014,15538,7299401,19.368,"12,615,365",99841,72,91,16
3/27/2014,18166,7317567,25.302,"12,640,668",99913,78,164,17
3/28/2014,20025,7337592,29.858,"12,670,526",99991,81,255,29
3/29/2014,4870,7342462,6.546,"12,677,072",100072,55,142,0
3/30/2014,8645,7351107,13.365,"12,690,437",100127,93,209,15
3/31/2014,18686,7369793,26.78,"12,717,217",100220,117,276,47
